Date,Species,Trap,Longitude,Latitude,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,PrecipTotal,week_of_year,month,Tmax_lag1,Tmax_lag2,Tmax_lag3,Tmax_lag4,Tmax_lag5,Tmax_lag6,Tmax_lag7,Tmin_lag1,Tmin_lag2,Tmin_lag3,Tmin_lag4,Tmin_lag5,Tmin_lag6,Tmin_lag7,Tavg_lag1,Tavg_lag2,Tavg_lag3,Tavg_lag4,Tavg_lag5,Tavg_lag6,Tavg_lag7,DewPoint_lag1,DewPoint_lag2,DewPoint_lag3,DewPoint_lag4,DewPoint_lag5,DewPoint_lag6,DewPoint_lag7,WetBulb_lag1,WetBulb_lag2,WetBulb_lag3,WetBulb_lag4,WetBulb_lag5,WetBulb_lag6,WetBulb_lag7,PrecipTotal_lag1,PrecipTotal_lag2,PrecipTotal_lag3,PrecipTotal_lag4,PrecipTotal_lag5,PrecipTotal_lag6,PrecipTotal_lag7
2007-05-29,CULEX PIPIENS/RESTUANS,T002,-87.800991,41.95469,1,0,88.0,62.5,75.25,58.5,65.5,0.0,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-29,CULEX RESTUANS,T002,-87.800991,41.95469,1,0,88.0,62.5,75.25,58.5,65.5,0.0,22,5,88.0,,,,,,,62.5,,,,,,,75.25,,,,,,,58.5,,,,,,,65.5,,,,,,,0.0,,,,,,
2007-05-29,CULEX RESTUANS,T007,-87.769279,41.994991,1,0,88.0,62.5,75.25,58.5,65.5,0.0,22,5,88.0,88.0,,,,,,62.5,62.5,,,,,,75.25,75.25,,,,,,58.5,58.5,,,,,,65.5,65.5,,,,,,0.0,0.0,,,,,
2007-05-29,CULEX PIPIENS/RESTUANS,T015,-87.824812,41.974089,1,0,88.0,62.5,75.25,58.5,65.5,0.0,22,5,88.0,88.0,88.0,,,,,62.5,62.5,62.5,,,,,75.25,75.25,75.25,,,,,58.5,58.5,58.5,,,,,65.5,65.5,65.5,,,,,0.0,0.0,0.0,,,,
2007-05-29,CULEX RESTUANS,T015,-87.824812,41.974089,4,0,88.0,62.5,75.25,58.5,65.5,0.0,22,5,88.0,88.0,88.0,88.0,,,,62.5,62.5,62.5,62.5,,,,75.25,75.25,75.25,75.25,,,,58.5,58.5,58.5,58.5,,,,65.5,65.5,65.5,65.5,,,,0.0,0.0,0.0,0.0,,,
2007-05-29,CULEX RESTUANS,T045,-87.666455,41.9216,2,0,88.0,62.5,75.25,58.5,65.5,0.0,22,5,88.0,88.0,88.0,88.0,88.0,,,62.5,62.5,62.5,62.5,62.5,,,75.25,75.25,75.25,75.25,75.25,,,58.5,58.5,58.5,58.5,58.5,,,65.5,65.5,65.5,65.5,65.5,,,0.0,0.0,0.0,0.0,0.0,,
2007-05-29,CULEX RESTUANS,T046,-87.654491,41.891118,1,0,88.0,62.5,75.25,58.5,65.5,0.0,22,5,88.0,88.0,88.0,88.0,88.0,88.0,,62.5,62.5,62.5,62.5,62.5,62.5,,75.25,75.25,75.25,75.25,75.25,75.25,,58.5,58.5,58.5,58.5,58.5,58.5,,65.5,65.5,65.5,65.5,65.5,65.5,,0.0,0.0,0.0,0.0,0.0,0.0,
2007-05-29,CULEX PIPIENS/RESTUANS,T048,-87.654224,41.867108,1,0,88.0,62.5,75.25,58.5,65.5,0.0,22,5,88.0,88.0,88.0,88.0,88.0,88.0,88.0,62.5,62.5,62.5,62.5,62.5,62.5,62.5,75.25,75.25,75.25,75.25,75.25,75.25,75.25,58.5,58.5,58.5,58.5,58.5,58.5,58.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-29,CULEX RESTUANS,T048,-87.654224,41.867108,2,0,88.0,62.5,75.25,58.5,65.5,0.0,22,5,88.0,88.0,88.0,88.0,88.0,88.0,88.0,62.5,62.5,62.5,62.5,62.5,62.5,62.5,75.25,75.25,75.25,75.25,75.25,75.25,75.25,58.5,58.5,58.5,58.5,58.5,58.5,58.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-29,CULEX RESTUANS,T049,-87.655232,41.896282,1,0,88.0,62.5,75.25,58.5,65.5,0.0,22,5,88.0,88.0,88.0,88.0,88.0,88.0,88.0,62.5,62.5,62.5,62.5,62.5,62.5,62.5,75.25,75.25,75.25,75.25,75.25,75.25,75.25,58.5,58.5,58.5,58.5,58.5,58.5,58.5,65.5,65.5,65.5,65.5,65.5,65.5,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
