Id,WnvPresent
1,0.017640269910225777
2,0.005932574904787125
3,0.016891098802217057
4,0.0007573523767898251
5,0.00042578773071529454
6,0.019643094739166447
7,0.09354280809647149
8,0.0023762570098122245
9,0.004260680119806922
10,0.0014200669512010045
11,0.004077373269430376
12,0.00018057066663934557
13,0.00010149218860034512
14,0.004751773263497131
15,0.02400001499311128
16,0.0005672556190814686
17,0.0245399924725019
18,0.008291662832743433
19,0.023504805729487686
20,0.0010607093773210344
21,0.0005964159973801256
22,0.027304418015033253
23,0.1263133073252138
24,0.003325906882248449
25,0.01606154244145013
26,0.005395879980095809
27,0.015378369293434158
28,0.0006885136425606411
29,0.0003870745361621341
30,0.017888387120506347
31,0.0857641866435809
32,0.002160587838986456
33,0.000884855704698393
34,0.00029425362024316706
35,0.000846663145150611
36,3.737946108610342e-05
37,2.1008314681583653e-05
38,0.0009872314373502095
39,0.005063846758227665
40,0.00011746212589809472
41,0.0047181654128016625
42,0.0015730267329956984
43,0.004515265465881977
44,0.00020004723515766295
45,0.0001124402169335077
46,0.005261710439477181
47,0.026520536669992944
48,0.0006284142751872494
49,0.0021483816788328263
50,0.0007150353946403577
51,0.002055764429170158
52,9.086536311784626e-05
53,5.107010124075828e-05
54,0.0023965937463183455
55,0.012221749071609785
56,0.0002855048057309185
57,0.0031216010065656225
58,0.0010396237250763793
59,0.002987153636177917
60,0.00013215091267142277
61,7.427563486550093e-05
62,0.003481861076476233
63,0.017677375307626867
64,0.00041518993233490416
65,0.006123878204047371
66,0.002043612559940281
67,0.005860882973049847
68,0.00026000021855751077
69,0.00014614172841937207
70,0.006828254008355603
71,0.034198768846821534
72,0.0008166414880856328
73,0.02981364078791373
74,0.010109731423400745
75,0.028562506165859917
76,0.0012953564025231406
77,0.0007284282954634875
78,0.03315195159254337
79,0.15009277897940118
80,0.004059617836302783
81,0.004658940129311703
82,0.0015532195328560692
83,0.004458575696516493
84,0.00019752486495953108
85,0.00011102234984640451
86,0.0051956978658583486
87,0.026194837654111583
88,0.0006204940314485277
89,0.004402528981723646
90,0.001467483962103352
91,0.004213145202551623
92,0.0001866077794643511
93,0.0001048857069769372
94,0.004909891244455858
95,0.024782680257753223
96,0.0005862133905592834
97,0.017502310589450662
98,0.005885629415903078
99,0.016758898572189894
100,0.0007513283644030537
101,0.0004223998825190594
102,0.019489782679311517
103,0.0928673545546019
104,0.002357386541150449
105,0.003738429918472741
106,0.0012455675872823386
107,0.003577511064601528
108,0.0001583577938111215
109,8.900627661078583e-05
110,0.0041695796907984025
111,0.0211095219714997
112,0.0004974984254820102
113,0.03205927413704036
114,0.010887875857077461
115,0.030716884784614693
116,0.0013960165684111616
117,0.0007850679759097876
118,0.03563979734709261
119,0.15990490951045885
120,0.004374143719285411
121,0.002303354139859245
122,0.0007666935648895848
123,0.0022040707470968586
124,9.743438376306423e-05
125,5.4762320750307975e-05
126,0.002569424759647814
127,0.013093824012505868
128,0.0003061407822410429
129,0.0027239434811757715
130,0.0009069458391637942
131,0.0026065784393677137
132,0.00011527230870850096
133,6.478850914750588e-05
134,0.0030384502739156517
135,0.015454218380729703
136,0.0003621740594093444
137,0.004836128408495851
138,0.001612482753005281
139,0.004628179171367044
140,0.00020507206676220649
141,0.0001152647693755339
142,0.005393189442598189
143,0.027168720009274124
144,0.0006441919940114686
145,0.008402920335488711
146,0.0028084475079671887
147,0.008042841721592085
148,0.00035754610847378836
149,0.00020097921191566218
