Id,SalePrice
2658,152949.4982829527
2718,206771.34148044896
2414,225317.1171420687
1989,118371.4943683811
625,159972.287642256
333,77207.78047205228
1327,99139.82065091934
858,139702.3815623026
95,191245.74061117775
1568,157454.80679736787
2482,154189.77464255644
1364,220717.74226876826
2584,133699.26107318047
818,244175.37319760234
2673,170446.83294712624
2089,108395.0327181042
1297,162657.0100065762
790,113590.71045755513
2616,206406.1957346478
720,197302.4684642622
222,168692.48916434054
557,147045.15911014634
1148,189668.59619653504
2766,186589.6224922617
534,183427.06327901012
1452,110551.05568197416
630,115530.52795670007
2648,97760.63324802439
125,142710.93908602535
1904,38427.85725833173
1670,91825.49178911536
756,199085.56661356706
717,245684.07237642165
1032,167465.96826608968
852,201245.70707553648
1731,174029.40787439072
2639,132199.77380588045
2071,84049.7188672747
1267,113690.14271561324
1851,186411.49411106133
567,188959.49229157856
2439,203561.90529215045
1898,145832.38236984576
647,177642.46157620125
2256,229962.86033196223
979,102503.5188949951
1444,199213.8868436464
2485,120663.19401004538
157,111688.80641258613
88,141022.22283731296
2003,108346.15883977688
186,185750.6883088774
1425,242176.18262070138
2695,225683.73239972396
738,115281.47857824375
395,137944.2597978738
1353,174379.0061857507
1878,144537.98144327616
390,167828.7957523117
1456,234413.37616241095
1103,336025.9238051153
1387,151314.22747188946
2070,159304.7925161001
1199,183750.96439541748
2479,180312.15758667316
501,289315.35823744396
2362,79025.12196589878
1718,206182.90749277873
2188,78352.95364702889
1483,167983.8506041224
2557,79514.81496773975
437,311712.56247589155
2224,217677.6139982998
1628,148300.50294116896
397,111234.03401562793
587,206549.27833014657
2182,599744.9386661379
971,133861.83515218704
2611,162908.03130403522
1887,64989.74096606567
2399,339787.0970972113
2148,191759.352531589
304,212564.56845224265
1997,134492.69185151462
2817,109165.72929300833
1431,198455.08805449586
427,314799.49106417387
263,118965.80815684365
598,188899.197315983
2895,243415.13486375334
687,126445.68879447656
1822,140089.03153942188
2191,114263.04218879133
179,119260.26857311092
1009,200665.63975323865
2010,135190.56973624672
1991,141029.2707001469
1411,162034.79857876874
1721,229153.54268482618
1144,191211.68163590506
593,216434.00321522448
575,350081.75867176196
1249,165317.6355847913
1604,114304.8237985702
1064,430957.9149770036
1923,149052.23511931766
1988,91352.11492161802
2325,161690.2582818364
114,189376.12142232165
2700,211454.45768465265
217,166046.43268130394
343,169923.53977476328
386,220114.7361517602
2005,110744.69429730647
2908,110974.0225966993
1814,250851.74307943112
2446,463618.6844395173
208,136042.20276133483
1679,85168.74741748418
822,315123.26649885415
6,184126.28512740007
1781,393507.3398211708
2397,298011.2951292705
2340,277047.7973714622
1618,161954.51757017418
2843,181224.12108510733
1061,329091.5389188689
2786,122684.63996193069
1935,121696.74947442068
1341,99885.54034807859
521,269383.76669775625
2136,119932.86257485463
996,199334.7181798243
227,179535.98231184855
135,180523.0934107242
