Id,SalePrice
2658,146301.1969814009
2718,177672.57800345283
2414,221926.77205184198
1989,114258.20227848
625,136399.02115463687
333,84905.06920541906
1327,106645.74093687622
858,143129.9875463076
95,185097.9685132242
1568,146379.8830364731
2482,152647.42369737654
1364,205125.76355260907
2584,120103.46936970326
818,247498.51808224517
2673,167937.66231122898
2089,118399.87284460117
1297,139129.8247908836
790,119246.09106794848
2616,184713.8036063581
720,192138.80697953445
222,153652.9806313312
557,126530.99622833752
1148,183706.8222849165
2766,179143.6434063332
534,158924.7809943274
1452,116287.97598957994
630,118591.81164244023
2648,108162.89152575035
125,115466.65895825763
1904,69525.45934358457
1670,92818.14822010153
756,179265.72516323338
717,213773.06457903405
1032,155318.31948458563
852,201256.16641631705
1731,173559.96436977386
2639,131418.55489868217
2071,91214.44163105897
1267,104820.19053998346
1851,178279.55135084968
567,167438.57303059482
2439,201415.84231727736
1898,137882.66427696237
647,139992.2682223722
2256,215874.68748639626
979,96694.58135765037
1444,202875.4710828229
2485,116003.59515985669
157,113699.63984565074
88,127397.31312762306
2003,115837.9107142168
186,176223.2669976444
1425,236602.98226431097
2695,214935.30397529283
738,115259.35909459202
395,132042.09018185752
1353,176089.35068031232
1878,129457.681064114
390,170464.71565065702
1456,233825.39657084437
1103,327321.00906022044
1387,129679.5556149671
2070,145129.2990492886
1199,160647.67253271642
2479,176605.20477861466
501,268630.5027225903
2362,85478.2959969206
1718,185083.68166311624
2188,93802.70660934754
1483,158050.56146506357
2557,90701.40077302093
437,325188.38994460664
2224,200968.79866671868
1628,156544.84668165658
397,111389.18721807373
587,184313.80589431545
2182,555210.7551316977
971,114681.81816978645
2611,141020.75702310912
1887,74217.68754552165
2399,344878.4525092631
2148,195037.91172126948
304,192982.79852919318
1997,139584.76069807523
2817,125333.6495055645
1431,202516.78680874896
427,301363.10324743664
263,121063.24761442291
598,173361.22257079673
2895,215407.73416654
687,123992.3005143344
1822,131516.25703515555
2191,122499.98591458893
179,124981.15952517472
1009,195801.87586963476
2010,140927.81642982093
1991,139913.34366233443
1411,147714.1456421672
1721,225795.1470849562
1144,189919.44837944637
593,227837.9517224687
575,307403.5891099718
1249,145462.0870527356
1604,92831.80166860948
1064,455072.98417783674
1923,138446.8496044536
1988,101931.0436066082
2325,158288.6018807179
114,189901.5911355468
2700,182870.30250406946
217,149741.9696181514
343,147575.00344271585
386,211432.86139901925
2005,115182.4375682091
2908,96387.51450097657
1814,237536.12495223468
2446,460234.18942640745
208,135318.87046992552
1679,95548.43818731363
822,316554.1796488333
6,194443.05596055847
1781,408673.7232731122
2397,270548.5048047953
2340,283958.85713831
1618,168864.4140137246
2843,150242.32229669084
1061,354561.9926539657
2786,126406.87168487978
1935,120180.61592000548
1341,113945.6403583349
521,273744.194440108
2136,131431.0462576318
996,198720.35124663293
227,169163.06320808333
135,144727.96446196653
1167,160719.08251151352
294,218166.42648277
1776,192332.5543025092
540,159084.13062687946
1717,201059.5999093522
2303,103626.20588963026
116,185869.48825189477
127,116609.81309768597
1371,230752.96318024705
1014,149775.73185668097
1507,97992.50942357801
702,120146.45743882551
750,139068.46100385138
261,153736.1778754707
1559,140115.9254964325
577,239816.86687509634
2812,197424.91286855767
2080,162354.76982106233
1368,115263.14518850831
2376,113789.28184786916
659,106515.99068093732
1235,106077.01434886263
332,83452.64594895428
1917,113323.37088502885
2094,218149.41651555322
